Pookie Bear|Josh Allen
Arguably Best Slant Route Runner|Cole Beasley
Mr. Injured Reserve|Paul Posluszny
MAGA|Spencer Brown
Greatest of All Time|Jim Kelly
Terminator|Thurman Thomas
GOAT|Andre Reed
Myles Garrett|Bruce Smith
Worst of All Time|Nathan Peterman
Kick Return|Isaiah McKenzie
Backup|Tyrod Taylor
TB12|Drew Bledsoe
Trash|Sammy Watkins
Coe|Fred Jackson
E$|Eric Moulds
Deep Threat|Lee Evans
Speed|Don Beebe
Y so Serious?|Stevie Johnson
Deep Threat|Peerless Price
13 Seconds|Gabe Davis
Smoke|John Brown
Czech|Dominik Hasek
The Story|Matthew Barnaby
Fights|Rob Ray
GOAT|Ryan Miller
90's GOAT|Michael Peca
Beanstalk|Tyler Myers
Legos|Patrick Kaleta
Dis or Dat|Martin Biron
Stay at Home|Jay McKee
Legend|Stu Barnes
Sniper|Tage Thompson
Trade Demand|Alex Tuch
Swede|Rasmus Dahlin
06-07|Daniel Briere
06-07|Chris Drury
Austrian GOAT|Thomas Vanek
Lowkey Best Center|Derek Roy
Sabres|Drew Stafford
Medicine Hat Tigers|Tyler Ennis
Neck|Jack Eichel
High Pick Bum|Sam Reinhart
9 million a year?|Jeff Skinner
06-07|Jason Pominville
Islanders|Kyle Okposo
Minnesota|Casey Mittelstadt
Locomotive|Zemgus Girgensons


